latitude,longitude,Cafetería,Calle,Descripción de Sara
"39,466566905","-0,3659002",CATÉ Café y té,"C/ de Ciscar, 15","Calidad, sostenibilidad y variedad en cada taza"
"39,470910596","-0,3755549",Cherry Blossom,"C/ de Moratín, 15",Un espacio en pleno centro de Valencia que celebra la primavera y la naturaleza
"39,467356852","-0,3860238",CLEM Café,"C/ de Conca, 40, Extramurs, 46007","Destaca por su propuesta de comida vegetariana, vegana y sin gluten"
"39,475162948","-0,3776858",Coffee & Bikes,"C. de la Puríssima, 1",Un punto de encuentro donde el ciclismo y la cultura del café se unen
"39,465051073","-0,3673215",COPPER (Specialty coffee & brunch),"C/ de Borriana, 12",Un espacio pet friendly donde tu mascota es siempre bienvenida
"39,469406011","-0,3781610",Cult Café,"C/ de l'Arquebisbe Mayoral, 7, Bajo","Tostaduría y cafetería centrada en cafés de origen, con tueste propio"
"39,466549855","-0,3698363",DOCTA Coffee,"Gran Via del Marqués del Túria, 34","Especialidad, arte y diseño en el centro de Valencia"
"39,467347152","-0,3301585",Doux-Amer Café,"C/ de Just Vilar, 29",Una amplia variedad de opciones de brunch creativo y saludable
"39,470527837","-0,3675986",East Crema Coffee,C/ Sorní 19,"Un espacio para desconectar, trabajar o disfrutar"
"39,469251656","-0,3746687",East Crema Coffee,C/ Roger de Lauria,Destaca por su trazabilidad y tueste preciso
"39,465053125","-0,3674913",East Crema Coffee,C/ Almirante Cadarso,"Un local en el que el diseño, la experiencia y la calidad del café encajan en perfecta sintonía"
"39,478713608","-0,3762573",El Coffi del Carmen,"C/ de la Creu, 4, bajo derecha","Ambiente acogedor, comida casera de alta calidad, y buen café."
"39,462862607","-0,3711076",Elixir Café de Especialidad  Ruzafa,"Mercado de Ruzafa Casetas exteriores 112-116, 46006","Café de especialidad, trazable, sostenible y respetuoso con el medio ambiente."
"39,476849838","-0,3796048",Elixir Café de Especialidad - Barrio del Carmen,"C/ dels Cavallers, 45","Cada sorbo refleja un proceso artesanal, justo y respetuoso con el planeta"
"39,466712678","-0,3844113",Elixir Café de Especialidad Arrancapins,"C/ de Sant Francesc de Borja, 4","Compromiso con la calidad, el respeto al medio ambiente y el fortalecimiento de las comunidades caficultoras."
"39,473185472","-0,3686685",Fav Coffee,Plaza de la Reina,"Una farmacia convertida en cafetería, con opciones veganas y vegetarianas"
"39,527450769","-0,3459122",Federal Café,"C/ de l'Ambaixador Vich, 15","Ambiente acogedor y cosmopolita, inspirado en la cultura australiana"
"39,462600149","-0,3663429",Fika,"C/ del Duc de Calàbria, 16",Una tradición sueca hecha local
"39,462650981","-0,3721447",Fiveo Coffee,C/ Dr. Serrano 1,Un local que rompe con lo tradicional
"39,463527614","-0,3693982",FloRa bake & Espresso,"C/ del Dr. Sumsi, 8",Aquí los pasteles se disfrutan mejor con el sabor intenso su café.
"39,462814984","-0,3810553",Flying Bean Coffee,"C/ del Doctor Vila Barberà, 12","Ganos tostados en el local, extracción precisa con la Black Eagle y opciones como Nitro Cold Brew"
"39,457515208","-0,3878437",Foc Coffee,"C/ Mateu i Sanç, 25",Café de alta calidad a precios razonables
"39,471744566","-0,3288882",FOUR Specialty Coffee & Bistro,"C/ d'Espadà, 31","Opciones vegetarianas y veganas, ingredientes frescos y un ambiente acogedor."
"39,477241750","-0,3830260",Fran Café,"C/ de Puerto Rico, 29, L'Eixample, 46004",Un pequeño rincón situado en el barrio de Russafa que invita a entrar y probar su café take away.
"39,462240494","-0,3669821",Fumi Specialty Coffee,"C/ de Matias Perelló, 37",Un espacio donde la pausa del café se convierte en tu ritual diario de autocuidado.
"39,466714519","-0,3541093",Gartxi Coffee,"Avenida del Port, 65, Bajo Izquierda, Camins al Grau, 46021","Dispone además de un patio interior, perfecto para disfrutar de un desayuno al aire libre."
"39,463571782","-0,3636492",Gigi World Coffee Specialty,"C/ del Mestre Racional, 3, Carrer Quart, 7, 46005",Apuesta por una cuidadosa selección de granos y tostado artesanal
"39,473142227","-0,3759099",Goat Coffee Store,"C/ de l'Abadia de Sant Martí, 4",Ofrece opciones como el espresso italiano que algunos comparan con el de Roma.
"39,484563647","-0,3708730",Henko Specialty Coffee,"C/  Almazora, 44, Bajo Izquierda","Ofrece café de origen, tostado fresco y adaptado a distintos métodos de preparación"
"39,470854896","-0,3724026",I’N Coffee & Tea,"C/ del Dr. Romagosa, 5, Ciutat Vella, 46002","Café de calidad, con tueste propio,  programa de fidelidad y ambiente acogedor"
"39,470622514","-0,3736901",Ikore Kofi – Centro,"C/ de Pascual i Genís, 3, Bajo Izquierda","Una experiencia completa que involucra la calidad, la sostenibilidad, la educación y la pasión por esta bebida"
"39,462538684","-0,3711152",Ikore Kofi – Market,Plaza del Baró de Cortés,"Selección de granos, tueste artesanal junto con catas y cursos"
"39,478969493","-0,3746772",Kaffeina Brunch & Specialty,"C/ del Mur de Santa Anna, 4",Se specializa en brunchs con cafés de especialidad
"39,464823872","-0,3656650",Kaffeina Brunch & Specialty,"C/ de la Reina Na Germana, 9, L'Eixample, 46005",Buen café en medio del bullicio de la ciudad.
"39,466655259","-0,3658333",Kaffetto Coffee Roasters,C/ Císcar 15,Ofrece una frescura de tueste reciente
"39,464993186","-0,3293603",Kaide Coffee,"C/ de la Reina, 23",Se distingue por la creatividad en sus preparaciones
"39,471662592","-0,3840368",Karma Café,"Gran Vía de Fernando el Católico, 8",Un espacio pensado para la comodidad del cliente y atención a los detalles
"39,489029151","-0,4005829",Kohi Café de Especialidad,"C/ de la Safor, 9",Calificado con más de 80 puntos por la Specialty Coffee Association (SCA)
"39,464664643","-0,3752599",Kopi Specialty Coffee,"Gran Via de les Germanies, 16",De la finca a la taza: un recorrido con trazabilidad y respeto por cada etapa del proceso.
"39,475459366","-0,3765412",La Droguería | Speciality Coffee,"C/ de la Corretgeria, 23",Un espacio con decoración cuidada y un café de sabor intenso que marca la diferencia.
"39,472811773","-0,3776153",La Guashira Specialty Coffee,C/ Flassaders 8,Produce variedades exóticas de café de especialidad en su propia finca de Colombia
"39,460965270","-0,3707826",Let it bloom,"C/ de Francesc Sempere, 4, Bj Izq 01","Calidad, conocimiento y pasión por el café de especialidad, con opciones veganas creativas."
"39,459488876","-0,3752366",Los Picos Café,Plaza Manuel Granero 20,Dominan la AeroPress y preparan un sándwich cubano famoso en la ciudad
"39,482427513","-0,3715992",Mayan Coffees,"C/  d'Hug de Montcada, 19, La Saïdia, 46010 València, Valencia",Uno de los pocos locales que ofrece café infusionado
"39,475728083","-0,3836370",Mayan Coffees,C/ Murillo 54,Opciones seleccionadas para resaltar las características únicas de cada grano
"39,472856227","-0,3486034",Maybean Café,"C/ del Dr. Manuel Candela, 75","Ideal para trabajar o disfrutar de un brunch. Ofrece comida saludable, con opciones veganas y sin gluten."
"39,477571806","-0,3782947",Mestizo,"C/ del Portal de Valldigna, 9","Terraza y dos salas, pet friendly, con opciones veganas y sin gluten para todos los gustos."
"39,461585953","-0,3321588",MiKENGO,"C. del Dr. Josep Juan Dómine, 9, bajo izquierda","Un nuevo concepto en café y comida. Ofrece café de especialidad, bizcochos y bebidas caseras, increíbles tostadas y opciones sanas para disfrutar en cualquier momento del día"
"39,466238348","-0,3766287",Mora caffè,"C/ de Castellón, 2",Ofrece café de alta calidad con un enfoque en el espresso italiano.
"39,480352167","-0,3633185",Navel Brunch and coffee,"C/  de Menéndez y Pelayo, 5",Parada obligatoria para los amantes del café. Envuélvete en el sabor refinado del verdadero espresso italiano.
"39,535307605","-0,3655442",Near Me Specialty Coffee,"Plaza del Col·legi del Patriarca, 3",¿Alguna vez has visto cómo tu café se enlata en tiempo real?
"39,474642432","-0,3777290",News & Coffee,Plaza Doctor Collado,Un espacio que combina la venta de revistas y prensa con la oferta de café de alta calidad
"39,469565552","-0,3854626",Nuwanda Coffee,"C/ del Doctor Sanchis Sivera, 8","Inspirada en la película ""El Club de los Poetas Muertos"""
"39,471810658","-0,3843488",Pals cafe. Specialty coffee,"C/ Mestre Palau, 4",Combina la energía de la gran ciudad con la calidez de una comunidad cercana
"39,467154732","-0,3720907",Paper cup specialty coffee,"C/ de Ciril Amorós, 30",Café de especialidad tostado en casa y propuestas creativas como el horchata latte
"39,474530898","-0,3887347",Paramoka,"C/ de Sant Ignasi de Loiola, 4, Extramurs, 46008","Tuestes diseñados para cada método: moka, filtro y espresso."
"39,473280381","-0,3713600",Pure coffeine,"C/ de la Pau, 23","Modelo Grab&Go, tecnología para garantizar calidad constante"
"39,469518104","-0,3711238",Pure Coffeine,"Carrer d'Isabel la Catòlica, 2",Buscan convertir un ritual diario en algo accesible para todos
"39,485034497","-0,3708754",Puto Café,"C/ Senda de l'Aire, 2","La cafetería más viral de Valencia: si dices esta palabra malsonante, te cobran menos por el café."
"39,476245464","-0,3806132",Q7th Specialty Coffee,"Calle Quart, 7, 46001",Cafés de origen diverso y múltiples formas de preparación
"39,483295676","-0,3548849",Raíces Café,Eduardo Boscá 24,"U refugio para los amantes de esta bebida, pero también del arte o la música."
"39,473554180","-0,3788365",Retrogusto Coffeemates,Mercado Central – Palcos 169-170,Ubicado en el corazón del Mercado Central
"39,485385162","-0,3629500",Riot Specialty Coffee,"C/ del Doctor Vicent Zaragoza, 15","Alog más que café, con cookies variadas"
"39,467968328","-0,3718629",Syra Coffee – Cirilo Amorós,"C/ de Ciril Amorós, 35, L'Eixample, 46004",Café de especialidad con compromiso por la sostenibilidad y el comercio justo
"39,469856701","-0,3752961",Syra Coffee – Roger de Lauria,"C/ de Roger de Llòria, 3, Ciutat Vella, 46002",Local minimalista que destaca por su compromiso con la sostenibilidad
"39,478304055","-0,3763261",Syra Coffee – Samaniego,"C/ de Samaniego, 18, Ciutat Vella, 46003",Ofrece todo tipo de variedades del café dependiendo de la temporada
"39,467835809","-0,3678718",Syra Coffee – Turia,"Gran Via del Marqués del Túria, 54, L'Eixample, 46005",Diseño urbano pensado para el disfrute diario.
"39,464911562","-0,3299188",Tallat Specialty Coffee,C/ Barraca 25,Se ha consolidado como un punto de encuentro para amantes del café
"39,473738899","-0,3762943",The Coffee,"C/ dels Drets, 3",Lo mejor del café brasileño junto con la pureza y perfeccionismo japonés.
"39,456013819","-0,3585466",Tinobu Healthy food & Coffee,"Avenida de l'Institut Obrer de València, 15","Desayunos sanos tanto dulces como salados, 100% sin gluten y sin lactosa."
"39,460642888","-0,3953260",Tostarte Specialty Coffee,"C/ de la Vall d'Uixó, 3","Un espacio acogedor para trabajar, socializar o ir con tu mascota."
"39,474289342","-0,3770898",UNCAFE,"C/ de Martín Mengod, 6, Ciutat Vella, 46001","Conocido por la pasión de su barista, dispuesto a compartir historias sobre Valencia."
"39,476146494","-0,3766029",Vuka (Coffee & Brunch),"C/ dels Juristes, 12, Ciutat Vella, 46001",Café de especialidad y repostería artesanal cerca de la Plaza de la Virgen
